indicador_id,nome,tipo,numerador,denominador,meta,fonte
IND-CARDIO-01,Taxa de Controle Pressórico na Hipertensão,Resultado,Pacientes com PA sistólica < 140 mmHg e diastólica < 90 mmHg na última aferição,Total de pacientes cadastrados no programa com HAS,>= 70%,Metodologia §9.1
IND-CARDIO-02,Taxa de Controle Glicêmico no Diabetes,Resultado,Pacientes com HbA1c < 7.0% no último exame laboratorial realizado,Total de pacientes cadastrados no programa com DM,>= 60%,Metodologia §9.1
IND-CARDIO-03,Taxa de Resposta a Alertas Críticos (Vermelhos),Processo,Alertas vermelhos com conduta clínica registrada em até 24h,Total de alertas vermelhos emitidos no período,100%,Metodologia §9.1
IND-CARDIO-04,Taxa de Sincronização Offline com Sucesso,Processo,Registros coletados em modo offline sincronizados com o banco central,Total de registros coletados offline,>= 98%,Metodologia §9.1
